source_group,series,controller,seed,steps,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,renewable_share_of_demand,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,market_revenue_eur,net_eur,lcoe_eur_per_mwh,reproducibility_hash,metrics_path,csv_path,endstate_path
codex_operator,round_01_codex_r1,codex_operator,88,96,55,303.54605478910855,4.344971711816204,26471.25,0.5747330482870183,111.35740880013323,0.5567870440006644,14,2308428.966009273,417859.0078698474,-1890569.9581394258,513.5864592432807,37ff91527e077ff8,03_codex_operator\round_01_codex_r1\seed_88\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_88\codex_operator.csv,
codex_operator,round_01_codex_r1,codex_operator,99,96,57,293.88757297075347,9.941920668251635,26473.171402468433,0.5778219221723916,122.62028832299582,0.6131014416149796,14,2240872.8133831145,418776.5636425911,-1822096.2497405233,496.7672966263932,f35ebf14b59f55dd,03_codex_operator\round_01_codex_r1\seed_99\codex_operator.metrics.json,03_codex_operator\round_01_codex_r1\seed_99\codex_operator.csv,
codex_operator,round_02_codex_r2,codex_r2,3,96,51,315.497214264553,7.175358975715704,26621.25,0.5721846991771989,123.6807065853421,0.6184035329267132,13,2395545.706101871,416723.6477196802,-1978822.0583821908,534.103820089529,498789136faae24a,03_codex_operator\round_02_codex_r2\seed_03\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_03\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,5,96,61,258.50026280539856,5.180010122680402,26641.729322180607,0.5834871784362116,106.01411063850672,0.5300705531925303,12,1997039.8110403293,422138.3581082998,-1574901.4529320295,439.8601160091131,55d10ac9f99b777f,03_codex_operator\round_02_codex_r2\seed_05\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_05\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,7,96,56,316.66673042607295,15.958389024721601,26623.734971179318,0.5733631179750865,107.99248552444169,0.539962427622207,14,2403789.684792185,416612.5436843358,-1987177.1411078493,535.0336608190808,0fe95a6b65149960,03_codex_operator\round_02_codex_r2\seed_07\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_07\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,13,96,65,322.6289135653827,10.588126449340258,26621.25,0.5712371208943621,124.99744915405374,0.6249872457702708,14,2445467.6012076787,416046.1362861014,-2029421.4649215774,545.6867216379145,4e50a1ec0aac1e34,03_codex_operator\round_02_codex_r2\seed_13\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_13\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,17,96,55,327.8992570215122,16.843566812667703,26621.25,0.5714426281145181,123.61100999496772,0.6180550499748421,14,2482360.005400585,415545.4536577691,-2066814.5517428159,553.7972355540608,3ccef84eae997d9b,03_codex_operator\round_02_codex_r2\seed_17\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_17\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,19,96,57,286.6476050844371,3.7671944891747158,26639.200240781065,0.5771801103706841,122.28313031444874,0.6114156515722442,13,2194026.163668804,419464.36059179116,-1774561.8030770128,486.2633159499014,57432779a63d4c3b,03_codex_operator\round_02_codex_r2\seed_19\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_19\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,23,96,60,347.20078718756497,8.713398183393302,26621.09952886596,0.5657199300506064,120.86917321393778,0.6043458660696857,14,2617467.2429368254,413711.8082919941,-2203755.4346448313,587.5343245752126,904224c13dab1db7,03_codex_operator\round_02_codex_r2\seed_23\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_23\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,31,96,50,252.15388729092635,12.09687181191961,26658.750000000004,0.586254105210714,113.02582836235061,0.5651291418117523,12,1953008.1047864845,422741.26378217473,-1530266.8410043097,428.9088908524225,de028f2c31e2f67b,03_codex_operator\round_02_codex_r2\seed_31\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_31\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,41,96,56,279.5880033145703,5.052850005164023,26635.465907979014,0.5790296633056646,116.68903386855078,0.5834451693427525,12,2144512.409488046,420135.02275992854,-1724377.3867281175,474.526146614298,6caddbdaa026983c,03_codex_operator\round_02_codex_r2\seed_41\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_41\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,42,96,58,303.08344857217133,14.407562054890958,26623.6071745295,0.5758321622853491,123.70357406118285,0.6185178703059151,13,2308703.7616292126,417902.95546045643,-1890800.8061687562,512.4969528095062,51d18d5eb8384f1a,03_codex_operator\round_02_codex_r2\seed_42\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_42\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,55,96,49,307.8265011144771,14.865809723522155,26621.250000000004,0.5752175388655525,115.10573994668633,0.5755286997334323,13,2341850.71405134,417452.3654689372,-1924398.3485824026,520.3500064227031,9e79a76a3b5e0bac,03_codex_operator\round_02_codex_r2\seed_55\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_55\codex_r2.csv,
